source_id,newspaper,date,title_translation,permalink,event,information_origin,verification,rights_note
AR-001,Filastin,1938-03-25,Their News Local and Foreign,https://www.nli.org.il/he/newspapers/?a=d&d=falastin19380325-01.2.22,Hanita,explicit-summary-of-Hebrew-newspapers,metadata-and-OCR,links-and-metadata-only
AR-002,Filastin,1938-03-25,Events of the Country in Their Newspapers,https://www.nli.org.il/he/newspapers/?a=d&d=falastin19380325-01.2.36,Hanita-and-arrests-in-al-Bassa,explicit-summary-of-Hebrew-newspapers,metadata-and-OCR,links-and-metadata-only
AR-003,Filastin,1938-06-01,Telephone Dispatch from Beisan: Setting Fire to the Oil Pipelines,https://www.nli.org.il/he/newspapers/?a=d&d=falastin19380601-01.2.22,pipeline-sabotage-near-al-Tayyiba,Filastin-special-correspondent,metadata-and-OCR,links-and-metadata-only
AR-004,al-Difaa,1938-06-07,Aircraft to Protect the Oil Pipelines,https://www.nli.org.il/he/newspapers/?a=d&d=difaa19380607-01.2.39,RAF-protection-of-pipeline,dispatch-from-London,metadata-and-OCR,links-and-metadata-only
AR-005,Filastin,1938-06-14,Events in the Country during 48 Hours,https://www.nli.org.il/he/newspapers/?a=d&d=falastin19380614-01.2.52,pipeline-damage-near-Dana-and-skirmish-near-Sarid,Public-Security-Department-bulletins,metadata-and-OCR,links-and-metadata-only
AR-006,al-Jamia-al-Islamiyya,1938-06-15,Four Aircraft Allocated to Protect the Oil Pipelines,https://www.nli.org.il/he/newspapers/?a=d&d=jamiaislamia19380615-01.2.2,pipeline-security-Arab-fatality-and-Beisan-cordon,unclear,metadata-and-headline-scan-body-OCR-missing,links-and-metadata-only
AR-007,Filastin,1938-06-17,News after Midnight: Attack on the Pipelines and Fire in the Oil,https://www.nli.org.il/he/newspapers/?a=d&d=falastin19380617-01.2.14,armed-attack-near-Kawkab-al-Hawa,Filastin-special-correspondent-in-Nazareth,metadata-and-OCR,links-and-metadata-only
AR-008,al-Difaa,1938-07-07,Clash near the Oil Pipelines,https://www.nli.org.il/he/newspapers/?a=d&d=difaa19380707-01.2.86,clash-near-Kawkab-al-Hawa,local-report-Jewish-version-and-government-communique,metadata-OCR-and-scan-location,links-and-metadata-only
AR-009,Filastin,1938-07-12,Description of the Battle of Dabburiya,https://www.nli.org.il/he/newspapers/?a=d&d=falastin19380712-01.2.5,Dabburiya-front-page-lead,Filastin-reporting-and-official-communique,metadata-and-OCR-title-truncated,links-and-metadata-only
AR-010,Filastin,1938-07-12,Dabburiya Report Continued,https://www.nli.org.il/he/newspapers/?a=d&d=falastin19380712-01.2.19,Dabburiya-Wingate-wounded-and-village-searched,Filastin-reporting-and-official-communique,metadata-OCR-and-scan-location,links-and-metadata-only
AR-011,al-Difaa,1938-07-12,Clash and Casualties,https://www.nli.org.il/he/newspapers/?a=d&d=difaa19380712-01.2.102,Dabburiya-local-casualties-and-search,al-Difaa-correspondent-and-official-communique,metadata-OCR-and-scan-location-names-pending,links-and-metadata-only
